iter	Passed	Remaining
552	5103	4125
553	5115	4117
554	5123	4108
555	5132	4098
556	5141	4089
557	5150	4080
558	5160	4071
559	5169	4061
560	5178	4051
561	5186	4042
562	5195	4033
563	5204	4023
564	5214	4014
565	5224	4005
566	5234	3997
567	5245	3989
568	5255	3981
569	5266	3973
570	5275	3963
571	5284	3953
572	5293	3944
573	5302	3935
574	5312	3926
575	5322	3918
576	5331	3908
577	5340	3899
578	5349	3889
579	5358	3880
580	5368	3871
581	5377	3862
582	5386	3852
583	5397	3844
584	5406	3835
585	5415	3826
586	5425	3817
587	5435	3808
588	5443	3798
589	5453	3789
590	5463	3780
591	5473	3772
592	5482	3762
593	5491	3753
594	5501	3744
595	5510	3735
596	5519	3725
597	5528	3716
598	5537	3707
599	5546	3697
600	5555	3688
601	5564	3678
602	5573	3669
603	5582	3660
604	5591	3650
605	5600	3641
606	5609	3631
607	5618	3622
608	5627	3612
609	5636	3603
610	5645	3594
611	5654	3584
612	5664	3575
613	5674	3567
614	5683	3557
615	5692	3548
616	5701	3538
617	5709	3529
618	5718	3519
619	5727	3510
620	5737	3501
621	5747	3492
622	5756	3483
623	5764	3473
624	5773	3464
625	5782	3454
626	5791	3445
627	5801	3436
628	5811	3427
629	5820	3418
630	5830	3409
631	5839	3400
632	5849	3391
633	5858	3381
634	5867	3372
635	5877	3363
636	5885	3354
637	5895	3345
638	5904	3335
639	5914	3327
640	5924	3318
641	5934	3309
642	5943	3300
643	5953	3290
644	5962	3281
645	5971	3272
646	5980	3263
647	5989	3253
648	5999	3244
649	6008	3235
650	6018	3226
651	6026	3216
652	6036	3207
653	6045	3198
654	6056	3189
655	6065	3180
656	6073	3170
657	6083	3162
658	6093	3152
659	6102	3143
660	6110	3134
661	6120	3124
662	6129	3115
663	6138	3105
664	6147	3096
665	6155	3086
666	6164	3077
667	6173	3068
668	6183	3059
669	6192	3049
670	6201	3040
671	6210	3031
672	6219	3021
673	6228	3012
674	6237	3003
675	6247	2994
676	6259	2986
677	6269	2977
678	6279	2968
679	6288	2959
680	6298	2950
681	6307	2941
682	6316	2931
683	6326	2922
684	6336	2913
685	6345	2904
686	6354	2895
687	6363	2885
688	6373	2877
689	6383	2867
690	6393	2859
691	6402	2849
692	6411	2840
693	6421	2831
694	6431	2822
695	6441	2813
696	6451	2804
697	6461	2795
698	6472	2787
699	6480	2777
700	6489	2768
701	6498	2758
702	6508	2749
703	6517	2740
704	6527	2731
705	6536	2722
706	6546	2712
707	6555	2703
708	6565	2694
709	6574	2685
710	6583	2676
711	6592	2666
712	6601	2657
713	6611	2648
714	6620	2638
715	6629	2629
716	6639	2620
